Timestamp,SC,TO,Action,Activity,Location,Duration
2024-11-14 10:31:42,SC003,TO_CO_TFTU000020,DROP,finished,at YARD001.36,0
2024-11-14 10:31:42,SC015,TO_CO_TFTU000012,DROP,finished,at WS002.01,0
2024-11-14 10:31:42,SC003,TO_CO_TFTU000032,PICK,driving,to QC005,18
2024-11-14 10:31:42,SC015,TO_CO_TFTU000051,PICK,driving,to QC005,34
2024-11-14 10:31:59,SC012,TO_CO_TFTU000024,PICK,finished,at QC005,0
2024-11-14 10:31:59,SC012,TO_CO_TFTU000024,DROP,driving,to WS007.01,61
2024-11-14 10:32:00,SC003,TO_CO_TFTU000032,PICK,arriving,at QC005,18
2024-11-14 10:32:01,SC003,TO_CO_TFTU000032,PICK,working,at QC005,61
2024-11-14 10:32:01,SC007,TO_CO_TFTU000013,DROP,working,at WS012.01,60
2024-11-14 10:32:02,SC007,TO_CO_TFTU000013,DROP,arriving,at WS012.01,124
2024-11-14 10:32:10,SC018,TO_CO_TFTU000009,DROP,arriving,at WS016.01,178
2024-11-14 10:32:10,SC018,TO_CO_TFTU000009,DROP,working,at WS016.01,60
2024-11-14 10:32:11,SC020,TO_CO_TFTU000034,PICK,finished,at QC003,0
2024-11-14 10:32:11,SC020,TO_CO_TFTU000034,DROP,driving,to WS002.01,47
2024-11-14 10:32:14,SC005,TO_CO_TFTU000019,DROP,finished,at YARD001.55,0
2024-11-14 10:32:14,SC005,TO_CO_TFTU000027,PICK,driving,to QC006,13
2024-11-14 10:32:16,SC015,TO_CO_TFTU000051,PICK,arriving,at QC005,34
2024-11-14 10:32:17,SC009,TO_CO_TFTU000014,DROP,arriving,at WS015.01,169
2024-11-14 10:32:17,SC009,TO_CO_TFTU000014,DROP,working,at WS015.01,60
2024-11-14 10:32:27,SC005,TO_CO_TFTU000027,PICK,arriving,at QC006,13
2024-11-14 10:32:28,SC016,TO_CO_TFTU000003,DROP,finished,at WS015.01,0
2024-11-14 10:32:28,SC016,TO_CO_TFTU000033,PICK,driving,to RAIL001.81,134
2024-11-14 10:32:28,SC005,TO_CO_TFTU000027,PICK,working,at QC006,61
2024-11-14 10:32:32,SC008,TO_CO_TFTU000011,DROP,finished,at WS013.01,0
2024-11-14 10:32:32,SC008,TO_CO_TFTU000063,PICK,driving,to QC003,128
2024-11-14 10:32:37,SC013,TO_CO_TFTU000046,PICK,finished,at QC003,0
2024-11-14 10:32:37,SC013,TO_CO_TFTU000046,DROP,driving,to YARD001.36,33
2024-11-14 10:32:37,SC017,TO_CO_TFTU000029,PICK,arriving,at RAIL001.76,92
2024-11-14 10:32:38,SC017,TO_CO_TFTU000029,PICK,working,at RAIL001.76,61
2024-11-14 10:32:40,SC004,TO_CO_TFTU000047,PICK,finished,at QC005,0
2024-11-14 10:32:40,SC004,TO_CO_TFTU000047,DROP,driving,to WS003.01,43
2024-11-14 10:32:40,SC015,TO_CO_TFTU000051,PICK,waited,at QC005,24
2024-11-14 10:32:40,SC015,TO_CO_TFTU000051,PICK,working,at QC005,60
2024-11-14 10:32:41,SC011,TO_CO_TFTU000052,PICK,arriving,at QC005,61
2024-11-14 10:32:42,SC010,TO_CO_TFTU000026,PICK,arriving,at QC006,79
