SC,TO,Action,Location,timestamp_start,timestamp_end,duration_visit
SC017,TO_CO_TFTU000105,PICK,at QC005,2024-11-14 10:41:08,2024-11-14 10:42:51,0 days 00:01:43
SC018,TO_CO_TFTU000075,DROP,at YARD001.19,2024-11-14 10:41:11,2024-11-14 10:42:11,0 days 00:01:00
SC005,TO_CO_TFTU000073,DROP,at WS010.01,2024-11-14 10:41:17,2024-11-14 10:42:17,0 days 00:01:00
SC014,TO_CO_TFTU000104,DROP,at YARD001.27,2024-11-14 10:41:25,2024-11-14 10:42:24,0 days 00:00:59
SC012,TO_CO_TFTU000040,PICK,at QC005,2024-11-14 10:41:33,2024-11-14 10:43:21,0 days 00:01:48
SC007,TO_CO_TFTU000114,PICK,at QC006,2024-11-14 10:41:37,2024-11-14 10:42:37,0 days 00:01:00
SC013,TO_CO_TFTU000111,DROP,at YARD001.31,2024-11-14 10:41:40,2024-11-14 10:42:41,0 days 00:01:01
SC011,TO_CO_TFTU000103,DROP,at WS003.01,2024-11-14 10:41:41,2024-11-14 10:42:41,0 days 00:01:00
SC006,TO_CO_TFTU000095,DROP,at YARD001.14,2024-11-14 10:41:42,2024-11-14 10:42:42,0 days 00:01:00
SC010,TO_CO_TFTU000100,DROP,at YARD001.50,2024-11-14 10:41:42,2024-11-14 10:42:42,0 days 00:01:00
SC002,TO_CO_TFTU000120,PICK,at QC007,2024-11-14 10:41:46,2024-11-14 10:42:46,0 days 00:01:00
SC016,TO_CO_TFTU000097,PICK,at QC003,2024-11-14 10:41:53,2024-11-14 10:42:53,0 days 00:01:00
SC008,TO_CO_TFTU000087,PICK,at QC005,2024-11-14 10:41:55,2024-11-14 10:43:51,0 days 00:01:56
SC015,TO_CO_TFTU000113,DROP,at YARD001.44,2024-11-14 10:42:01,2024-11-14 10:43:01,0 days 00:01:00
SC020,TO_CO_TFTU000125,PICK,at QC005,2024-11-14 10:42:13,2024-11-14 10:44:22,0 days 00:02:09
SC003,TO_CO_TFTU000107,DROP,at WS002.01,2024-11-14 10:42:19,2024-11-14 10:43:19,0 days 00:01:00
SC001,TO_CO_TFTU000080,DROP,at WS002.01,2024-11-14 10:42:21,2024-11-14 10:43:21,0 days 00:01:00
SC018,TO_CO_TFTU000098,PICK,at QC003,2024-11-14 10:42:24,2024-11-14 10:43:24,0 days 00:01:00
SC004,TO_CO_TFTU000116,PICK,at QC005,2024-11-14 10:42:36,2024-11-14 10:44:51,0 days 00:02:15
SC014,TO_CO_TFTU000121,PICK,at QC003,2024-11-14 10:42:41,2024-11-14 10:43:54,0 days 00:01:13
